pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,pl_rade,pl_name,discoverymethod,y,planet_type
711.9392,1.36665436,1834.0,6010.0,1.046,15.490838,HATS-52 b,Transit,3,Gas Giant
189.10885,3.8537768,1312.0,5644.0,1.101,15.02006,HATS-53 b,Transit,3,Gas Giant
239.32479047,2.5441765,1429.0,5621.0,1.23,11.37711541,HATS-54 b,Transit,3,Gas Giant
292.72143,4.2042001,1367.0,6214.0,1.126,14.022459,HATS-55 b,Transit,3,Gas Giant
191.33366,4.324799,1902.0,6536.0,2.201,18.920792,HATS-56 b,Transit,3,Gas Giant
1000.21101,2.350621,1413.4,5587.0,0.96,12.767051,HATS-57 b,Transit,3,Gas Giant
327.3649,4.2180896,1721.0,7175.0,1.433,12.273855,HATS-58 A b,Transit,3,Gas Giant
256.17098,5.416081,1128.0,5670.0,1.036,12.621334,HATS-59 b,Transit,3,Gas Giant
4036.441,1422.0,175.9,5670.0,1.036,12.3,HATS-59 c,Radial Velocity,3,Gas Giant
101.38777,3.3252725,712.8,3724.0,0.57,11.186582,HATS-6 b,Transit,3,Gas Giant
210.40346,3.560829,1528.0,5688.0,1.46,12.923977,HATS-60 b,Transit,3,Gas Giant
1080.622,7.817953,1226.1,5542.0,1.664,13.394755,HATS-61 b,Transit,3,Gas Giant
56.89157,3.2768837,1237.0,5416.0,0.933,11.825495,HATS-62 b,Transit,3,Gas Giant
305.1168,3.0566527,1398.3,5627.0,1.07,13.529263,HATS-63 b,Transit,3,Gas Giant
305.1168,4.908897,1793.0,6554.0,2.113,18.819911,HATS-64 b,Transit,3,Gas Giant
260.93843,3.105161,1634.0,6277.0,1.31,16.824709,HATS-65 b,Transit,3,Gas Giant
1694.0339,3.1414391,1998.0,6626.0,1.841,15.815899,HATS-66 b,Transit,3,Gas Giant
460.8535,1.6091788,2193.0,6594.0,1.441,18.887165,HATS-67 b,Transit,3,Gas Giant
410.0007,3.5862202,1741.0,6147.0,1.748,13.809488,HATS-68 b,Transit,3,Gas Giant
183.38791,2.2252577,1295.7,5137.0,0.8785,10.592505,HATS-69 b,Transit,3,Gas Giant
38.1396,3.185315,1084.0,4985.0,0.815,6.310667,HATS-7 b,Transit,3,Gas Giant
4100.007,1.8882378,2730.0,7930.0,1.881,15.513256,HATS-70 b,Transit,3,Gas Giant
117.5971,3.7955202,586.8,3405.0,0.4783,11.478016,HATS-71 b,Transit,3,Gas Giant
39.855882,7.3279474,739.3,4656.1,0.7214,8.0973816,HATS-72 b,Transit,3,Gas Giant
464.02947422,1.73185606,895.1,3776.9,0.5758,11.56766808,HATS-74 A b,Transit,3,Gas Giant
156.05374784,2.7886556,772.3,3790.4,0.5848,9.90873894,HATS-75 b,Transit,3,Gas Giant
835.570882,1.9416423,939.8,4016.0,0.6259,12.09449018,HATS-76 b,Transit,3,Gas Giant
